HOEP,toronto_temp,toronto_humidity,mississauga_temp,mississauga_humidity,brampton_temp,burlington_temp,burlington_humidity,thunderbay_temp,thunderbay_humidity,kingston_temp,kingston_humidity,london_temp,london_humidity,hamilton_temp,hamilton_humidity,Hour,Month,Day,DayOfWeek,IsWeekend,IsHoliday,BusinessHour
35.98,24.1,85.0,24.1,85.0,24.1,24.8,77.0,22.4,82.0,20.8,100.0,25.1,74.0,25.2,74.0,18,8,8,2,0,0,0
-0.01,18.2,41.0,18.2,41.0,18.2,14.0,66.0,14.7,51.0,19.8,51.0,20.2,43.0,15.9,59.0,21,6,12,2,0,0,0
3.18,14.1,86.0,14.1,86.0,14.1,15.9,85.0,13.5,90.0,12.0,99.0,13.6,97.0,13.2,98.0,7,6,10,2,0,0,0
-4.35,16.6,59.0,16.6,59.0,16.6,18.3,53.0,9.2,88.0,15.4,69.0,11.6,88.0,13.9,75.0,1,6,22,5,1,0,0
0.0,10.8,96.0,10.8,96.0,10.8,14.6,86.0,4.0,87.0,7.0,100.0,12.8,98.0,12.6,94.0,23,10,3,3,0,0,0
19.48,12.2,36.0,12.2,36.0,12.2,9.9,36.0,8.4,59.0,7.3,65.0,9.5,49.0,11.0,44.0,19,4,13,3,0,0,0
24.79,-1.0,47.0,-1.0,47.0,-1.0,1.8,44.0,-2.1,49.0,-1.2,64.0,-1.5,81.0,-1.6,80.0,23,4,1,6,1,0,0
21.76,-22.4,65.0,-22.4,65.0,-22.4,-19.4,67.0,-29.3,76.0,-25.9,59.0,-20.8,78.0,-23.8,79.0,5,1,6,5,1,0,0
35.38,24.5,74.0,24.5,74.0,24.5,24.3,74.0,14.4,99.0,22.1,80.0,20.7,97.0,21.5,88.0,3,7,7,3,0,0,0
34.98,19.0,66.0,19.0,66.0,19.0,7.4,88.0,10.8,87.0,20.8,54.0,23.1,70.0,22.2,66.0,17,5,21,2,0,0,1
0.0,3.5,64.0,3.5,64.0,3.5,5.2,58.0,-16.4,79.0,1.5,64.0,3.0,74.0,3.0,67.0,6,1,5,2,0,0,0
11.2,8.7,93.0,8.7,93.0,8.7,4.7,94.0,5.3,81.0,4.3,80.0,11.8,100.0,10.3,88.0,20,3,14,0,0,0,0
49.57,2.7,53.0,2.7,53.0,2.7,2.2,56.0,1.1,88.0,3.0,48.0,1.7,64.0,0.8,65.0,12,4,2,5,1,0,0
2.6,-4.5,58.0,-4.5,58.0,-4.5,-2.4,52.0,-20.2,63.0,-0.8,57.0,-5.3,64.0,-4.1,59.0,11,1,8,2,0,0,1
2.33,9.4,68.0,9.4,68.0,9.4,10.7,66.0,7.6,94.0,7.1,71.0,8.2,80.0,8.8,69.0,19,10,31,5,1,0,0
32.63,-10.2,72.0,-10.2,72.0,-10.2,-8.9,67.0,-16.6,88.0,-11.9,69.0,-16.7,87.0,-13.0,78.0,0,3,3,1,0,0,0
23.9,-0.2,100.0,-0.2,100.0,-0.2,1.7,94.0,-6.2,94.0,-9.7,80.0,0.9,80.0,-0.1,100.0,3,12,7,3,0,0,0
15.58,1.9,82.0,1.9,82.0,1.9,1.2,88.0,-9.0,61.0,0.9,79.0,1.3,79.0,0.4,96.0,11,3,7,2,0,0,1
14.55,24.8,72.0,24.8,72.0,24.8,24.9,71.0,13.9,99.0,21.1,86.0,20.3,96.0,22.8,82.0,2,7,7,3,0,0,0
46.68,-10.3,72.0,-10.3,72.0,-10.3,-8.9,69.0,-29.0,71.0,-9.6,65.0,-11.6,77.0,-11.4,74.0,9,2,1,2,0,0,1
15.5,24.4,70.0,24.4,70.0,24.4,24.2,71.0,14.1,76.0,21.0,80.0,20.9,96.0,20.9,89.0,2,6,8,1,0,0,0
3.76,6.6,42.0,6.6,42.0,6.6,5.6,61.0,4.8,58.0,6.1,40.0,6.4,43.0,3.9,67.0,22,4,28,3,0,0,0
0.0,9.1,75.0,9.1,75.0,9.1,10.3,78.0,12.8,31.0,10.1,58.0,8.5,78.0,9.0,77.0,18,10,26,5,1,0,0
